id	title	description	link	price	availability	image link	brand	gtin	identifier exists	produc type
30503666	CARTERA LIRIO	Bandolera mediana con estampa fullprint y solapa de ecocuero calada. Manija corta de mano de ecocuero. Correa larga regulable de ecocuero. Cómodo y seguro cierre en el dorso de la bandolera. Interior forrado con bolsillo doble para el celular. Excelentes terminaciones y hermosos detalles. Encontrala en nude, celestino, camel y negro.	https://www.tienda.chimola.com.ar/productos/cartera-lirio/	2190 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/c16c_11-c219ecdd7472313e8c15402299418030-640-0.jpg	Chimola		no	Inicio > Productos
30503276	CARTERA PEACOCK	Cartera grande tipo tote con vibrante estampa fullprint. Manija corta de mano de ecocuero. Correa larga regulable con argollas metálicas. Cómodo y seguro cierre en el dorso de la cartera. Interior forrado con bolsillo doble para el celular. Excelentes terminaciones y hermosos detalles. Encontrala en azul, negro, camel y rosa.	https://www.tienda.chimola.com.ar/productos/cartera-peacock/	2190 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/c15a_11-df44580dba4a5bb9a115402296118474-640-0.jpg	Chimola		no	Inicio > Productos
30497440	CARTERA MAGNOLIA	Cartera grande con estampa bordada central y detalles de tachas metálicas. Correa larga de cinta. Cómodo y seguro cierre en el dorso de la bandolera. Interior forrado con bolsillo doble para el celular. Excelentes terminaciones y hermosos detalles. Encontrala en azul, negro, camel y rojo.	https://www.tienda.chimola.com.ar/productos/cartera-magnolia/	2490 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/c14_11-0e381efc6db1a4e02a15402220229411-640-0.jpg	Chimola		no	Inicio > Productos
30497295	CARTERA ACACIA	Cartera grande con detalles en los laterales reversible, un lado con cuño bajorrelieve y el otro fullprint con estampa a tonos. Correa larga de cinta. Cómodo y seguro cierre en el dorso de la bandolera. Interior forrado con bolsillo doble para el celular. Excelentes terminaciones y hermosos detalles. Encontrala en camel, maíz, nude y negro.	https://www.tienda.chimola.com.ar/productos/cartera-acacia/	2490 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/c13c_11-04ec3542c10fe4d2b615402215532604-640-0.jpg	Chimola		no	Inicio > Productos
30497090	CARTERA REVERSIBLE STRONGER	Cartera grande reversible, un lado con cuño bajorrelieve y el otro fullprint con estampa a tonos. Tachas metálicas en los laterales. Manija de ecocuero con detalle de cadena metálica. Bolsito de ecocuero combinado en el interior. Excelentes terminaciones y hermosos detalles. Encontrala en negro, nude, azul y hielo.	https://www.tienda.chimola.com.ar/productos/cartera-reversible-stronger/	2490 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/c12_12-6c8d420b124d2c8cfa15402208791231-640-0.jpg	Chimola		no	Inicio > Productos
31247074	MOCHILA MATERNITY	Mochila estamopada con divisiones, hermosos detalles y excelente calidad.	https://www.tienda.chimola.com.ar/productos/mochila-maternity/	1380 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/m06-11-d94b92f2a46a390f0d15423827635745-640-0.jpg	Chimola		no	Inicio > Productos
31246468	CARTERA TOTE BORDADA	Cartera rigida bordada, hermosos detalles y terminaciones. Correa larga y corta. Bolsillo frontal. 	https://www.tienda.chimola.com.ar/productos/cartera-tote-bordada/	1500 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/c07-14-60c5768af32f95728415423801663409-640-0.jpg	Chimola		no	Inicio > Productos
31182774	BOLSO TUBO CHIMOLA	"
"	https://www.tienda.chimola.com.ar/productos/bolso-tubo-chimola/	1180 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/bolso-tubo-chimola-cupcakes_iz594366787xvzgrandexpz1xfz237691206-77748162011-1xsz237691206xim1-64e23d7b4c1d62f47415422049343143-640-0.jpg	Chimola		no	Inicio > Productos
31182726	BOLSO OVAL JIRAFA	"
"	https://www.tienda.chimola.com.ar/productos/bolso-oval-jirafa/	1180 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/bolso-oval-chimola-jirafa_iz594377290xvzgrandexpz1xfz237691206-43327745811-1xsz237691206xim1-2d493f8612f4134f3e15422047785321-640-0.jpg	Chimola		no	Inicio > Productos
31182708	BOLSO OVAL BUHO	"
"	https://www.tienda.chimola.com.ar/productos/bolso-oval-buho/	1180 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/bolso-oval-chimola-buho_iz594376295xvzgrandexpz1xfz237691206-81996058-1xsz237691206xim1-340c046ff4ed7242fa15422047082295-640-0.jpg	Chimola		no	Inicio > Productos
31182688	BOLSO OVAL KOALA	"
"	https://www.tienda.chimola.com.ar/productos/bolso-oval-koala/	1180 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/bolso-oval-chimola-koala_iz594374362xvzgrandexpz1xfz237691206-87679608402-1xsz237691206xim1-d3cf4ddada706fa3da15422046119851-640-0.jpg	Chimola		no	Inicio > Productos
31181996	"MOCHILA ESPALDA 18"" JIRAFA"	"
"	https://www.tienda.chimola.com.ar/productos/mochila-espalda-18-jirafa/	940 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-escolar-grande-chimola-jirafa-18_iz136471461xvzgrandexpz1xfz237691206-24082860623-5xsz237691206xim1-87446898e3821460b915422043813854-640-0.jpg	Chimola		no	Inicio > Productos
31181957	"MOCHILA ESPALDA 18"" KOALA"	"
"	https://www.tienda.chimola.com.ar/productos/mochila-espalda-18-koala1/	940 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-escolar-grande-chimola-koala-18_iz136326160xvzgrandexpz1xfz237691206-756334931-1xsz237691206xim1-f0f5badf11f7e2ac8e15422042859343-640-0.jpg	Chimola		no	Inicio > Productos
31181922	"MOCHILA CARRO KOALA 16"""	"
"	https://www.tienda.chimola.com.ar/productos/mochila-carro-koala-16/	1220 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-escolar-mediana-con-carro-chimola-koala-16_iz136472764xvzgrandexpz1xfz237691206-403739648-1xsz237691206xim1-2842e0c554623b666115422041848559-640-0.jpg	Chimola		no	Inicio > Productos
31181870	CARTUCHERA 1 CIERRE JIRAFA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-1-cierre-jirafa1/	300 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-de-piso-chimola-jirafa_iz136489305xvzgrandexpz1xfz237691206-15615557867-4xsz237691206xim1-1aeb78635062016df315422040475123-640-0.jpg	Chimola		no	Inicio > Productos
31181756	CARTUCHERA 1 CIERRE KOALA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-1-cierre-koala/	220 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierre-chimola-koala_iz136474966xvzgrandexpz3xfz237691206-90849924419-1xsz237691206xim1-72564888db1ee451d315422039313112-640-0.jpg	Chimola		no	Inicio > Productos
31181587	CARTUCHERA CANOPLA 1 CIERRE BUHO	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-1-cierre-buho2/	220 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierre-chimola-buho_iz136485877xvzgrandexpz5xfz237691206-53336992350-4xsz237691206xim1-68b02828efb63cc10915422037059750-640-0.jpg	Chimola		no	Inicio > Productos
31181526	CARTUCHERA 2 PISOS KOALA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-2-pisos-koala1/	360 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-de-pisos-chimola-koala_iz136490144xvzgrandexpz1xfz237691206-74837329954-1xsz237691206xim1-d222f3a6be4bd5ecdc15422035639057-640-0.jpg	Chimola		no	Inicio > Productos
